brand,year,fuel_type,transmission,mileage_kmpl,engine_cc,horsepower,owners,insurance_valid,city,price_lakh
Mahindra,2015,Electric,Automatic,21.99,1971,187.0,1,Yes,Elizabethborough,5.55
BMW,2020,CNG,Automatic,16.65,2048,211.0,3,Yes,Dianestad,3.96
Hyundai,2007,Electric,Manual,15.87,1928,69.0,3,Yes,Hicksville,18.78
Mahindra,2010,Diesel,Manual,16.28,3203,97.0,2,No,Riveraside,10.54
Ford,2018,Electric,Manual,14.11,2361,164.0,2,Yes,Weaverfort,5.62
Hyundai,2022,Petrol,Automatic,12.08,2084,224.0,1,Yes,New Daniellehaven,5.3
Hyundai,2021,CNG,Automatic,8.0,1370,91.0,4,No,East Anthony,11.22
Mahindra,2008,CNG,Automatic,13.78,3420,271.0,2,No,Tonyafort,11.62
Honda,2019,Petrol,Manual,28.52,2749,73.0,2,No,East John,11.19
Ford,2015,Petrol,Manual,19.91,2777,289.0,2,,Thomasland,6.3
Mahindra,2007,Petrol,Manual,25.46,2780,191.0,3,No,North Gabrieltown,9.22
Ford,2007,Diesel,Automatic,16.73,1246,211.0,2,Yes,North Michael,8.44
Ford,2020,Electric,Manual,16.13,1582,155.0,1,Yes,Mckayton,4.25
Hyundai,2009,CNG,Manual,24.87,2080,69.0,1,No,North Brettfurt,4.29
BMW,2014,Electric,Manual,19.5,1743,75.0,2,Yes,Castillomouth,9.65
Ford,2023,Petrol,Manual,14.18,1436,226.0,4,,Cruzborough,8.79
Kia,2008,Petrol,Automatic,20.53,1330,155.0,2,No,Lake Michele,10.21
Hyundai,2023,Electric,Automatic,23.0,918,77.0,1,Yes,Johnborough,11.16
Honda,2015,CNG,Manual,12.29,865,66.0,4,Yes,Lake Joymouth,14.0
BMW,2006,Diesel,Manual,,3092,243.0,3,Yes,Rebeccafort,4.9
Kia,2014,Electric,Automatic,12.55,2904,304.0,2,No,East Joshuaberg,10.52
Kia,2015,Petrol,Automatic,,1867,141.0,1,No,Brandonfurt,11.0
Honda,2020,Petrol,Manual,18.92,3371,190.0,3,No,East Donnastad,6.75
BMW,2023,Diesel,Automatic,20.52,2713,188.0,1,Yes,Lake Jenniferhaven,8.49
Hyundai,2015,Electric,Automatic,17.13,1223,133.0,3,No,Port Christine,6.85
Toyota,2018,Diesel,Manual,10.87,1194,118.0,1,No,East Raymondport,16.43
BMW,2006,Diesel,Automatic,16.23,3297,131.0,1,No,South Jill,8.42
Honda,2009,CNG,Automatic,21.72,2080,219.0,3,Yes,Jacobston,9.81
Kia,2009,CNG,Automatic,25.97,2840,146.0,2,Yes,Jamesview,6.94
Hyundai,2023,Petrol,Automatic,19.13,1753,76.0,1,Yes,Jamesstad,6.08
BMW,2016,Electric,Manual,15.25,2619,148.0,4,No,Lake Traceyberg,2.79
Toyota,2022,CNG,Automatic,20.14,2659,208.0,2,No,Amandafort,12.4
Toyota,2008,Petrol,Automatic,21.36,1562,,4,Yes,South Davidmouth,11.07
Ford,2021,Electric,Manual,18.53,2429,143.0,1,Yes,Paigemouth,6.8
Ford,2014,Petrol,Automatic,18.28,2203,143.0,3,No,Mackmouth,4.4
Mahindra,2010,CNG,Manual,18.85,1242,309.0,2,No,East Anthony,8.72
Honda,2018,Petrol,Manual,18.17,3381,,3,No,New Melissaside,6.01
BMW,2015,Electric,Automatic,19.19,2297,131.0,3,Yes,West Francisberg,7.11
BMW,2015,Electric,Automatic,25.31,956,168.0,4,Yes,Lake Abigailmouth,2.95
Mahindra,2022,Petrol,Automatic,9.87,888,171.0,4,Yes,Port Markfurt,8.87
Kia,2022,Electric,Automatic,17.05,3049,231.0,2,Yes,Cunninghamville,8.95
Kia,2015,Petrol,Automatic,14.27,1779,246.0,2,,Marieport,12.38
Mahindra,2016,Electric,Manual,22.72,1261,,2,No,Johnsonton,7.4
Kia,2009,Petrol,Automatic,17.44,3301,227.0,4,No,Francofort,6.67
Ford,2013,Petrol,Manual,20.24,1179,141.0,4,Yes,Deniseside,1.77
BMW,2013,Petrol,Automatic,23.71,1200,134.0,3,Yes,Jonesmouth,12.4
Mahindra,2014,Diesel,Manual,13.68,1902,308.0,3,No,Port Scott,11.57
BMW,2023,Electric,Automatic,15.89,1350,190.0,3,Yes,Lake Sarahshire,8.11
Toyota,2005,CNG,Automatic,23.3,2209,260.0,2,Yes,West Donton,2.68
Ford,2011,Petrol,Automatic,13.52,1244,127.0,1,,Oconnorburgh,3.14
Hyundai,2008,Diesel,Automatic,16.02,2899,79.0,4,Yes,South Erika,5.81
Ford,2005,CNG,Automatic,11.6,2767,152.0,2,Yes,North Shelbyborough,11.86
Mahindra,2019,Petrol,Manual,23.45,2717,192.0,4,No,Schultzhaven,9.16
Hyundai,2012,CNG,Automatic,15.68,1128,194.0,1,No,North Courtney,2.03
Toyota,2016,Diesel,Automatic,19.4,2731,92.0,4,No,North Andrew,9.62
Mahindra,2022,CNG,Automatic,20.7,2790,91.0,4,Yes,South Katherine,4.64
Honda,2019,Petrol,Manual,14.79,1569,102.0,4,No,Josephburgh,5.91
BMW,2021,CNG,Automatic,10.38,2282,167.0,3,No,Lake Chelseaside,11.89
Toyota,2018,CNG,Manual,17.12,3345,,1,Yes,West Jeremy,11.06
BMW,2018,Petrol,Automatic,17.06,924,125.0,2,Yes,New Michelle,12.37
Kia,2022,Diesel,Manual,17.76,1003,68.0,2,No,Jonesside,7.91
Honda,2022,Diesel,Automatic,17.78,1442,289.0,2,,Port Davidshire,11.53
Honda,2020,CNG,Automatic,16.0,1844,280.0,1,Yes,North Felicia,5.66
Toyota,2005,Electric,Manual,15.85,1389,158.0,4,Yes,Lake Jesusburgh,6.97
Honda,2015,CNG,Automatic,19.19,2386,223.0,2,Yes,Jonesville,6.69
Hyundai,2019,Electric,Manual,14.7,3209,,1,No,North Nancystad,8.1
Honda,2016,CNG,Automatic,17.62,3208,228.0,3,Yes,West Justinbury,2.85
BMW,2012,Diesel,Automatic,15.75,1939,80.0,1,No,Claudiahaven,7.1
BMW,2010,CNG,Manual,19.18,854,87.0,3,No,Martinmouth,13.81
Mahindra,2007,CNG,Automatic,22.43,3139,142.0,1,No,Joneshaven,3.63
BMW,2017,Electric,Manual,22.6,1874,95.0,3,Yes,Garzafurt,2.68
Mahindra,2017,Diesel,Manual,,1641,292.0,2,Yes,Helenport,3.01
BMW,2006,Electric,Automatic,16.66,3101,163.0,1,No,South Lorrainetown,18.65
Hyundai,2009,CNG,Automatic,,1291,65.0,3,No,Rachelside,9.86
Mahindra,2021,Petrol,Automatic,12.92,1784,82.0,4,Yes,Caldwellmouth,6.92
Ford,2010,CNG,Manual,16.63,3420,229.0,2,No,Russellfurt,8.27
Kia,2006,CNG,Manual,16.77,1792,211.0,2,,Stephanieport,8.91
Toyota,2008,Electric,Automatic,15.53,2794,303.0,3,,Smithberg,5.44
BMW,2015,Petrol,Manual,15.51,2732,300.0,3,Yes,Rosestad,5.93
Honda,2012,Petrol,Manual,11.21,1760,105.0,1,No,East Cathy,7.37
BMW,2016,Electric,Manual,12.63,2686,134.0,3,No,Lake Connor,5.1
Honda,2012,Diesel,Manual,18.18,3072,255.0,3,No,Martinezchester,6.41
Kia,2015,Petrol,Automatic,18.33,2845,82.0,4,Yes,Mannfurt,9.41
Kia,2012,Petrol,Automatic,19.93,902,146.0,2,Yes,Lake Nancy,4.01
Kia,2012,Electric,Automatic,16.96,1769,180.0,3,Yes,Rachelburgh,18.44
Honda,2021,Diesel,Manual,18.05,1871,208.0,3,No,Michaelmouth,11.01
BMW,2020,Diesel,Manual,23.0,1536,209.0,4,No,New Charlesburgh,2.92
Kia,2018,CNG,Manual,17.79,2165,124.0,3,Yes,Hughesfurt,-1.91
Hyundai,2015,CNG,Manual,15.47,3080,219.0,4,Yes,East Christineshire,5.25
Mahindra,2011,Electric,Automatic,13.24,1027,141.0,2,Yes,Larsonborough,10.74
Honda,2020,Diesel,Manual,21.19,3369,66.0,2,No,Port Jeffrey,9.96
Honda,2017,Electric,Manual,11.19,2520,241.0,4,Yes,Warrenland,7.56
BMW,2019,CNG,Automatic,14.65,2415,73.0,4,Yes,Stuartburgh,5.59
Honda,2020,Electric,Automatic,19.67,2860,242.0,2,No,North Brian,4.38
Honda,2013,Electric,Automatic,10.37,1244,103.0,2,Yes,Wallaceview,6.39
Kia,2007,Petrol,Manual,15.54,3187,233.0,4,Yes,Chapmanfort,3.95
