employee_id,age,gender,department,salary_usd,years_experience,satisfaction_score,performance_rating,overtime,remote_work,num_projects,training_hours,education_level,attrition
EMP00000,35.0,Female,Engineering,12355.71,19.0,3.35,High,No,On-site,7.0,40.0,Bachelor's,1
EMP00001,61.0,Female,Sales,54075.72,28.0,3.22,Medium,no,On-site,7.0,54.0,PhD,0
EMP00002,57.0,Male,Finance,48552.03,22.0,1.88,Low,Yes,Full Remote,9.0,38.0,High School,0
EMP00003,51.0,Female,,51349.59,35.0,1.33,Medium,No,Full Remote,2.0,32.0,Bachelor's,0
EMP00004,53.0,Male,engineering,96251.17,0.0,1.19,Excellent,no,Hybrid,8.0,3.0,Master's,1
EMP00005,47.0,Male,Finance,34663.29,24.0,2.39,High,No,Hybrid,1.0,20.0,High School,0
EMP00006,29.0,Female,HR,24071.72,18.0,4.55,Medium,No,On-site,8.0,46.0,PhD,0
EMP00007,54.0,Female,SALES,43989.24,21.0,2.54,High,No,Full Remote,8.0,36.0,High School,0
EMP00008,33.0,Prefer not to say,Sales,34337.57,34.0,1.81,Medium,no,Hybrid,7.0,62.0,Bachelor's,0
EMP00009,58.0,Male,HR,103698.43,8.0,1.95,High,No,Full Remote,4.0,64.0,Bachelor's,0
EMP00010,47.0,Female,Sales,60887.21,34.0,3.66,High,Yes,Full Remote,4.0,3.0,Bachelor's,0
EMP00011,49.0,Male,Engineering,75906.17,7.0,1.53,Medium,Yes,Hybrid,9.0,90.0,Master's,0
EMP00012,53.0,Female,Engineering,51220.66,33.0,1.77,Medium,No,On-site,6.0,55.0,Master's,0
EMP00013,54.0,Male,Engineering,83161.28,9.0,4.55,High,,Full Remote,3.0,19.0,Bachelor's,0
EMP00014,35.0,Female,Sales,74206.24,18.0,1.59,Medium,No,Hybrid,4.0,19.0,PhD,0
EMP00015,51.0,Female,engineering,22177.62,6.0,1.62,Excellent,No,Hybrid,9.0,44.0,High School,0
EMP00016,53.0,Female,Marketing,54538.48,20.0,3.34,High,No,nan,9.0,61.0,Bachelor's,1
EMP00017,40.0,Female,HR,71055.44,0.0,1.97,Low,Yes,Hybrid,4.0,88.0,Bachelor's,0
EMP00018,60.0,Non-binary,Finance,37761.74,7.0,1.65,High,No,Hybrid,3.0,10.0,Master's,1
EMP00019,45.0,Male,HR,72932.05,28.0,2.27,Excellent,No,Hybrid,7.0,74.0,Associate,0
EMP00020,60.0,Male,Marketing,63063.29,5.0,4.64,Excellent,Yes,Full Remote,1.0,46.0,Bachelor's,0
EMP00021,48.0,Male,Finance,47531.85,23.0,2.11,Medium,No,Hybrid,7.0,54.0,High School,1
EMP00022,62.0,Male,Sales,56309.52,24.0,2.89,Excellent,No,Hybrid,2.0,33.0,High School,0
EMP00023,25.0,Male,Engineering,56716.68,35.0,4.84,Medium,No,On-site,5.0,44.0,Master's,0
EMP00024,26.0,Female,Sales,43568.81,32.0,4.23,Medium,No,On-site,8.0,46.0,Bachelor's,0
EMP00025,33.0,Female,Engineering,,9.0,4.72,High,Yes,Full Remote,7.0,85.0,PhD,0
EMP00026,42.0,Male,Engineering,60127.58,30.0,4.68,nan,No,nan,4.0,4.0,Master's,0
EMP00027,26.0,Male,Sales,59513.14,2.0,4.16,High,No,Hybrid,9.0,22.0,Bachelor's,1
EMP00028,63.0,Female,Engineering,50163.33,18.0,1.09,Excellent,no,Hybrid,1.0,33.0,Bachelor's,0
EMP00029,58.0,Male,Sales,59469.88,39.0,4.65,Excellent,No,Full Remote,1.0,5.0,Master's,0
EMP00030,51.0,Non-binary,Sales,50551.77,23.0,2.35,Excellent,Yes,Hybrid,9.0,6.0,Master's,0
EMP00031,42.0,Non-binary,Marketing,73624.41,33.0,4.83,Low,No,nan,5.0,64.0,PhD,0
EMP00032,49.0,Female,engineering,53532.15,33.0,2.09,High,yes,Full Remote,7.0,84.0,Master's,0
EMP00033,31.0,Female,Sales,89887.95,9.0,3.78,High,Yes,On-site,3.0,47.0,High School,0
EMP00034,54.0,Male,,83515.19,13.0,1.75,Medium,Yes,nan,6.0,91.0,PhD,1
EMP00035,48.0,Female,Engineering,75343.51,16.0,2.61,Excellent,No,Hybrid,5.0,29.0,Bachelor's,0
EMP00036,27.0,Male,Engineering,72305.89,38.0,2.36,Low,No,On-site,3.0,23.0,Bachelor's,0
EMP00037,30.0,Female,Sales,44383.42,13.0,1.59,Medium,No,On-site,5.0,65.0,Master's,0
EMP00038,48.0,Male,Finance,80430.86,25.0,3.71,Excellent,yes,Full Remote,6.0,26.0,Associate,0
EMP00039,45.0,Female,,52642.86,14.0,3.47,High,Yes,On-site,4.0,3.0,High School,0
EMP00040,32.0,Male,HR,85548.03,12.0,2.33,High,Yes,Hybrid,4.0,40.0,High School,0
EMP00041,49.0,Male,Engineering,64315.89,20.0,2.81,Medium,,On-site,9.0,3.0,Master's,0
EMP00042,46.0,Male,Engineering,68327.54,11.0,4.39,Excellent,yes,On-site,2.0,41.0,Bachelor's,0
EMP00043,55.0,Male,Finance,24584.66,3.0,4.02,Excellent,No,Hybrid,6.0,10.0,Master's,0
EMP00044,32.0,Non-binary,Sales,69062.3,30.0,4.05,Medium,Yes,On-site,8.0,49.0,Bachelor's,0
EMP00045,38.0,Female,HR,62512.68,15.0,4.06,Excellent,No,nan,9.0,77.0,Master's,0
EMP00046,23.0,Male,engineering,39294.56,0.0,2.75,Excellent,No,Hybrid,1.0,44.0,Bachelor's,1
EMP00047,44.0,Male,Engineering,56004.47,37.0,1.95,High,,Hybrid,4.0,56.0,Master's,0
EMP00048,23.0,Male,Engineering,91394.29,34.0,4.84,Medium,No,Full Remote,5.0,81.0,Master's,0
EMP00049,39.0,Female,Engineering,63421.67,27.0,2.78,High,No,Hybrid,5.0,91.0,Associate,0
EMP00050,23.0,Male,engineering,67703.37,11.0,3.53,Medium,,On-site,1.0,46.0,Master's,0
EMP00051,24.0,Female,Marketing,62710.48,30.0,4.41,High,Yes,Hybrid,4.0,33.0,Bachelor's,0
EMP00052,45.0,Male,Sales,62040.37,38.0,2.14,High,Yes,Full Remote,1.0,22.0,Bachelor's,0
EMP00053,63.0,Female,engineering,126433.9,33.0,3.91,High,,On-site,3.0,70.0,Bachelor's,0
EMP00054,53.0,Female,HR,80740.73,31.0,4.37,High,Yes,Full Remote,5.0,38.0,Bachelor's,0
EMP00055,41.0,Male,Engineering,82558.59,19.0,3.27,High,No,On-site,4.0,62.0,Associate,0
EMP00056,38.0,Male,Sales,79743.67,8.0,4.34,Medium,No,On-site,8.0,2.0,Bachelor's,0
EMP00057,61.0,Male,SALES,56565.78,31.0,3.07,Medium,,Hybrid,7.0,65.0,Bachelor's,1
EMP00058,57.0,Male,Finance,33566.21,6.0,,High,No,Full Remote,,76.0,Bachelor's,0
EMP00059,42.0,Non-binary,Sales,43987.23,32.0,2.88,Excellent,Yes,On-site,5.0,33.0,Bachelor's,0
EMP00060,39.0,Non-binary,engineering,59572.55,21.0,3.17,Medium,No,Full Remote,5.0,59.0,Master's,0
EMP00061,43.0,Female,HR,76135.0,33.0,2.53,Excellent,yes,Hybrid,5.0,11.0,Bachelor's,0
EMP00062,27.0,Male,Engineering,69241.22,39.0,1.54,Medium,Yes,Full Remote,8.0,52.0,Bachelor's,0
EMP00063,42.0,Non-binary,Marketing,61986.24,27.0,3.03,High,No,Hybrid,5.0,15.0,Bachelor's,0
EMP00064,54.0,Male,Marketing,100924.85,15.0,3.46,nan,,On-site,7.0,13.0,Master's,0
EMP00065,27.0,Male,Engineering,98784.34,25.0,1.74,High,No,Hybrid,1.0,22.0,Bachelor's,0
EMP00066,52.0,Female,Sales,54202.5,38.0,4.78,Excellent,No,Hybrid,7.0,65.0,Bachelor's,0
EMP00067,52.0,Female,,84603.4,6.0,1.77,Medium,,On-site,9.0,56.0,PhD,0
EMP00068,52.0,Male,HR,38593.97,17.0,1.33,High,Yes,On-site,5.0,31.0,PhD,0
EMP00069,27.0,Female,Finance,41205.96,15.0,,High,Yes,Hybrid,6.0,48.0,Bachelor's,1
EMP00070,40.0,Female,engineering,68174.44,12.0,2.81,Excellent,Yes,Full Remote,4.0,12.0,Associate,1
EMP00071,27.0,Male,Engineering,84177.33,3.0,1.57,Excellent,Yes,Hybrid,1.0,71.0,Master's,0
EMP00072,42.0,Prefer not to say,Finance,36667.04,3.0,3.22,nan,no,On-site,9.0,87.0,PhD,0
EMP00073,47.0,Female,SALES,47795.24,39.0,3.99,High,Yes,Hybrid,1.0,63.0,nan,1
EMP00074,44.0,Male,Finance,104539.28,37.0,2.46,Low,No,On-site,9.0,32.0,Bachelor's,0
