hotel_type,lead_time,arrival_month,weekend_nights,week_nights,adults,children,meal_plan,country,parking_requests,room_price,is_canceled
Resort Hotel,67,Jan,1,4,4,0.0,SC,UK,2,161.26,1
City Hotel,138,May,3,8,2,1.0,BB,India,1,87.82,1
City Hotel,225,Feb,0,9,4,2.0,SC,USA,0,135.72,1
Resort Hotel,61,Aug,2,2,3,0.0,SC,France,1,209.19,1
City Hotel,102,Jul,3,9,3,1.0,HB,Germany,1,42.11,1
City Hotel,293,Jul,2,2,1,2.0,HB,UAE,1,116.18,0
Resort Hotel,15,Oct,2,3,3,0.0,FB,India,0,,0
Resort Hotel,50,Apr,2,6,2,1.0,BB,UK,1,91.88,0
City Hotel,260,Feb,4,9,4,3.0,SC,UK,2,100.38,1
City Hotel,101,Mar,0,7,1,,HB,France,1,102.28,1
City Hotel,10,Oct,2,8,1,1.0,SC,Germany,1,86.18,1
City Hotel,244,Apr,0,2,3,2.0,SC,UK,0,142.4,1
City Hotel,123,Mar,3,9,3,1.0,SC,India,1,66.8,1
City Hotel,150,Mar,0,6,4,2.0,FB,Germany,2,77.71,1
City Hotel,159,Jan,1,3,1,3.0,HB,India,2,91.33,1
City Hotel,253,Jan,2,2,1,2.0,SC,,0,180.62,1
Resort Hotel,332,Aug,3,2,4,1.0,HB,India,0,180.99,1
Resort Hotel,201,Aug,2,9,3,2.0,SC,UK,1,126.31,0
City Hotel,284,Jan,2,4,1,3.0,SC,USA,1,191.32,1
Resort Hotel,98,Apr,3,8,4,2.0,BB,Germany,1,117.87,0
Resort Hotel,222,Feb,3,7,2,0.0,BB,India,1,188.62,1
City Hotel,208,Jan,4,5,1,1.0,HB,Germany,1,141.49,0
Resort Hotel,275,Feb,4,4,3,0.0,SC,India,1,129.35,0
Resort Hotel,334,Jan,4,6,4,0.0,HB,UK,1,,1
Resort Hotel,47,May,0,8,2,1.0,SC,UK,2,120.62,1
Resort Hotel,115,Oct,1,5,2,2.0,HB,USA,2,102.72,1
Resort Hotel,184,Dec,1,2,3,3.0,HB,India,0,81.26,0
City Hotel,11,Jun,0,4,4,0.0,FB,USA,0,87.75,1
City Hotel,77,Dec,4,1,1,3.0,FB,India,0,129.28,1
Resort Hotel,330,Aug,1,9,3,2.0,HB,USA,1,77.44,0
City Hotel,221,Oct,4,6,2,2.0,BB,,2,148.85,0
Resort Hotel,347,Aug,3,7,1,0.0,BB,,1,103.41,0
Resort Hotel,54,Apr,0,1,2,3.0,SC,UK,1,115.37,0
City Hotel,59,Mar,4,5,4,2.0,FB,India,2,147.34,0
Resort Hotel,193,Dec,0,9,1,1.0,HB,France,1,59.42,0
Resort Hotel,32,May,2,1,3,0.0,BB,France,0,8.9,1
Resort Hotel,146,Aug,0,1,2,2.0,SC,UK,1,83.28,1
City Hotel,132,May,0,2,3,0.0,SC,France,2,155.46,0
City Hotel,208,Oct,4,3,2,0.0,HB,France,0,,1
City Hotel,338,Jul,0,6,1,1.0,SC,France,1,67.19,0
City Hotel,213,Apr,2,6,3,2.0,FB,USA,1,89.88,1
Resort Hotel,179,Feb,3,1,3,1.0,FB,USA,1,124.04,1
City Hotel,310,Sep,1,3,2,0.0,BB,India,0,108.49,1
City Hotel,126,Nov,3,9,4,2.0,HB,UAE,0,142.13,0
Resort Hotel,138,Oct,0,8,4,3.0,FB,USA,0,139.13,1
City Hotel,245,Feb,2,9,3,0.0,BB,Germany,1,181.22,1
Resort Hotel,193,Feb,2,8,4,2.0,SC,,2,163.82,0
Resort Hotel,353,Aug,3,9,3,1.0,HB,France,2,128.82,1
Resort Hotel,275,Oct,4,7,1,0.0,HB,France,2,126.38,1
City Hotel,135,Jun,1,9,4,2.0,SC,UK,2,160.36,0
Resort Hotel,45,May,0,3,3,1.0,FB,India,1,197.57,0
City Hotel,361,Mar,0,6,3,,SC,France,0,73.75,0
City Hotel,38,Jul,3,6,1,1.0,SC,USA,1,111.74,1
City Hotel,135,Aug,2,1,2,0.0,BB,France,0,80.71,0
Resort Hotel,235,Sep,2,7,1,1.0,HB,France,1,167.28,0
Resort Hotel,67,Nov,4,3,2,2.0,SC,UK,1,149.11,0
City Hotel,75,Feb,1,2,3,0.0,BB,France,0,87.63,1
City Hotel,264,Aug,0,7,1,0.0,SC,Germany,0,142.02,1
Resort Hotel,90,May,3,4,2,2.0,HB,Germany,1,88.79,0
Resort Hotel,102,Jan,4,7,1,1.0,SC,France,0,128.5,1
Resort Hotel,3,Oct,1,1,4,2.0,HB,France,0,179.56,1
Resort Hotel,93,Jul,0,8,4,2.0,HB,Germany,1,143.25,1
Resort Hotel,12,Jul,1,2,3,,BB,,2,175.52,1
City Hotel,82,Oct,0,8,2,0.0,SC,India,1,178.4,0
City Hotel,171,Dec,1,8,1,2.0,SC,Germany,1,81.19,1
City Hotel,350,Mar,1,9,2,3.0,SC,UK,1,192.53,1
Resort Hotel,234,Nov,3,4,3,3.0,FB,Germany,1,79.62,1
Resort Hotel,304,Mar,4,1,1,3.0,HB,India,2,35.65,1
City Hotel,45,Apr,2,8,4,3.0,FB,Germany,0,110.74,0
City Hotel,25,May,1,9,2,1.0,HB,UAE,2,62.13,0
Resort Hotel,4,May,3,9,2,0.0,FB,India,0,108.78,1
Resort Hotel,230,May,2,6,2,,SC,USA,2,141.69,1
City Hotel,362,Jun,4,8,3,2.0,BB,USA,1,196.92,0
City Hotel,195,Jan,4,8,2,0.0,HB,France,2,83.69,0
City Hotel,156,Jul,1,5,4,1.0,HB,USA,2,84.25,0
Resort Hotel,110,Dec,0,4,1,0.0,FB,,1,136.45,0
Resort Hotel,165,Apr,4,2,1,3.0,FB,UK,2,95.86,1
City Hotel,329,May,3,3,3,1.0,FB,Germany,0,136.17,0
Resort Hotel,61,Aug,1,3,3,1.0,BB,USA,1,216.29,1
City Hotel,209,Aug,4,6,4,2.0,HB,UK,0,44.26,1
City Hotel,125,Dec,1,7,2,2.0,BB,USA,0,135.6,0
Resort Hotel,307,May,0,6,4,1.0,BB,India,1,71.55,0
City Hotel,287,Nov,4,1,3,0.0,FB,Germany,0,91.78,0
City Hotel,85,Mar,1,7,2,2.0,SC,UK,0,124.51,0
City Hotel,209,Oct,3,9,2,3.0,FB,UAE,1,120.37,0
City Hotel,234,Aug,4,8,3,1.0,HB,France,1,123.64,0
Resort Hotel,43,Feb,0,5,2,0.0,SC,UK,2,138.7,0
Resort Hotel,284,Dec,2,4,4,0.0,HB,UK,1,94.72,1
City Hotel,251,Sep,2,5,4,2.0,HB,UAE,2,184.5,0
City Hotel,167,Jun,1,3,2,0.0,SC,UAE,1,79.21,0
Resort Hotel,193,Oct,4,9,2,2.0,FB,UK,0,125.34,0
Resort Hotel,67,Apr,4,5,2,0.0,FB,France,0,164.07,1
City Hotel,207,Apr,0,7,1,0.0,SC,UK,1,83.96,1
City Hotel,324,Mar,2,7,3,1.0,BB,Germany,2,104.08,0
City Hotel,36,Nov,3,1,4,0.0,HB,UK,1,,1
Resort Hotel,286,May,2,6,4,0.0,BB,USA,2,107.5,1
Resort Hotel,349,Jun,4,4,1,0.0,HB,UK,1,99.43,0
Resort Hotel,279,Oct,3,3,2,3.0,HB,UK,2,140.81,0
Resort Hotel,175,Mar,3,3,3,2.0,HB,France,1,121.11,1
Resort Hotel,11,Sep,0,6,3,3.0,BB,India,0,109.11,1
Resort Hotel,19,Aug,1,1,4,1.0,SC,France,2,74.52,0
Resort Hotel,190,Dec,1,5,3,1.0,SC,France,2,35.38,0
Resort Hotel,72,Jun,0,4,2,3.0,BB,UK,0,166.1,1
Resort Hotel,299,May,4,8,3,0.0,BB,UAE,1,112.59,1
Resort Hotel,75,Nov,4,9,3,1.0,SC,India,1,74.39,1
City Hotel,137,Mar,1,8,1,0.0,FB,France,1,160.45,1
Resort Hotel,238,Mar,2,7,3,2.0,SC,USA,1,28.36,1
Resort Hotel,281,Aug,0,3,4,,FB,India,2,229.98,0
City Hotel,287,Jun,2,8,4,3.0,SC,UAE,1,153.32,0
City Hotel,141,Oct,0,1,4,0.0,BB,France,1,61.13,0
City Hotel,321,Nov,0,4,1,0.0,FB,UK,0,87.08,1
Resort Hotel,158,Jun,1,3,4,0.0,FB,UAE,0,131.04,1
Resort Hotel,201,Apr,1,3,2,2.0,BB,USA,2,116.62,0
Resort Hotel,29,Mar,2,2,3,1.0,HB,UAE,2,155.36,0
City Hotel,95,Jun,4,7,4,0.0,FB,India,0,165.85,1
City Hotel,274,Jan,3,3,2,1.0,BB,UAE,1,84.4,1
Resort Hotel,131,Nov,2,7,2,0.0,HB,USA,2,111.42,1
City Hotel,247,May,0,2,4,,FB,Germany,0,116.96,1
Resort Hotel,35,Jul,3,3,3,2.0,BB,France,0,39.54,0
City Hotel,132,Jan,3,3,2,1.0,SC,UK,0,127.79,0
City Hotel,297,Oct,3,7,2,1.0,SC,UAE,2,44.77,0
Resort Hotel,335,Dec,3,4,3,2.0,SC,UAE,2,156.44,1
