Machine_ID,Machine_Type,Factory_Location,Operating_Hours_Per_Day,Energy_Consumption_kWh,Production_Output_Units,Defect_Rate_Percent,Maintenance_Level,Temperature_Celsius,Worker_Count,Downtime_Hours_Per_Month,Shift_Type,Last_Service_Date,Supervisor_Name,Efficiency_Score
MCH-1000,3D Printer,Rajkot,11,1012.3,1685,9.02,Low,33.3,25,13.3,Evening,2023-12-28,Richard,85.25
MCH-1001,,Surat,19,242.66,333,2.03,Medium,23.7,19,1.9,Evening,2023-05-05,Brian,97.04
MCH-1002,3D Printer,Vadodara,22,802.9,1349,10.5,High,22.5,26,1.9,Morning,2023-07-03,Krista,87.76
MCH-1003,Laser Cutter,Vadodara,20,1614.56,1963,12.06,High,37.0,17,115.80000000000001,Morning,2023-03-17,David,78.44
MCH-1004,Packaging Unit,Surat,21,694.18,546,11.42,High,29.9,12,1.3,Night,2024-01-15,Sarah,79.81
MCH-1005,3D Printer,Vadodara,19,155.84,1119,2.32,Medium,23.7,26,9.1,Night,2023-03-01,Mary,98.09
MCH-1006,Packaging Unit,Ahmedabad,9,417.73,874,4.09,High,18.6,26,8.2,Morning,2023-12-11,Steven,92.77
MCH-1007,Laser Cutter,Ahmedabad,15,181.94,171,7.1,High,38.4,7,10.6,Morning,2023-05-04,Paul,79.55
MCH-1008,Laser Cutter,Rajkot,16,652.99,1396,10.64,High,32.7,6,28.2,Evening,2023-04-23,Frank,69.68
MCH-1009,CNC,Vadodara,4,226.43,1203,4.23,Low,24.8,5,8.5,Night,2022-02-12,John,95.29
MCH-1010,Laser Cutter,Pune,23,1324.22,243,2.09,,30.1,16,1.5,Morning,2023-11-25,Amanda,94.9
MCH-1011,Laser Cutter,Pune,17,696.58,753,6.01,High,24.4,20,2.7,Morning,2022-12-15,Cheryl,91.37
MCH-1012,CNC,Rajkot,9,623.37,1665,12.45,Medium,,8,4.8,Morning,2023-12-26,Ashley,84.72
MCH-1013,CNC,Surat,20,905.75,452,11.26,Low,24.4,27,1.1,Morning,2025-03-16,Stephen,79.18
MCH-1014,Laser Cutter,Ahmedabad,7,283.78,1646,5.19,Low,30.6,7,6.5,Night,2022-02-12,Angela,98.38
MCH-1015,Packaging Unit,Surat,5,397.93,1654,9.35,High,37.2,27,14.9,Morning,2024-12-01,Steve,84.08
MCH-1016,Robotic Arm,Surat,19,726.06,1109,5.18,Medium,34.7,2,8.4,morning,2023-03-11,Michael,91.96
MCH-1017,CNC,Ahmedabad,8,873.42,1634,5.52,Medium,26.3,5,18.7,Evening,2022-04-23,James,88.24
MCH-1018,CNC,Rajkot,4,442.85,1413,7.86,High,32.3,13,2.7,Morning,2024-01-07,Joseph,93.53
MCH-1019,Robotic Arm,Vadodara,11,293.38,1424,11.22,Low,30.5,9,3.4,Evening,2024-12-24,Matthew,86.63
MCH-1020,Laser Cutter,Pune,8,965.37,108,10.92,,21.0,20,3.2,Morning,2022-03-16,Kristi,75.44
MCH-1021,Packaging Unit,Vadodara,10,,1365,5.92,High,32.2,29,9.7,Morning,2023-05-31,,92.07
MCH-1022,3D Printer,Surat,4,460.55,859,3.85,Low,29.4,4,6.2,Morning,2022-01-25,,94.46
MCH-1023,Robotic Arm,Vadodara,22,366.89,1628,0.57,Low,31.4,7,8.1,Evening,2023-09-07,Mary,106.23
MCH-1024,3D Printer,Ahmedabad,23,775.39,1797,4.23,Medium,32.9,12,5.7,Evening,2024-12-11,Jackson,101.42
MCH-1025,Robotic Arm,Pune,12,,1844,7.85,Medium,23.4,14,7.9,Night,2023-09-11,Travis,92.13
MCH-1026,CNC,Vadodara,15,1175.26,1821,6.99,High,17.8,17,8.5,Night,2022-08-02,Aaron,93.57
MCH-1027,CNC,Rajkot,17,557.93,521,14.22,,27.2,22,19.6,Morning,2025-01-09,Michele,61.38
MCH-1028,Laser Cutter,Surat,17,226.74,1473,4.86,Low,34.3,8,2.7,Morning,2022-07-20,Danielle,100.34
MCH-1029,Packaging Unit,Pune,13,778.93,794,2.94,Medium,34.0,6,3.9,Evening,2022-10-05,Melissa,96.89
MCH-1030,Robotic Arm,Rajkot,7,1085.78,773,10.73,High,37.5,26,10.3,Morning,2022-11-12,Andrew,76.22
MCH-1031,Robotic Arm,Pune,10,545.14,1218,0.62,Low,25.8,12,4.0,Morning,2024-03-24,Mark,105.33
MCH-1032,Robotic Arm,Surat,8,725.79,1703,14.11,Medium,37.2,4,0.3,Night,2023-09-15,James,84.72
MCH-1033,Laser Cutter,Surat,21,430.74,1297,1.6,Medium,36.4,27,5.5,Morning,2023-03-14,Tamara,103.14
MCH-1034,Packaging Unit,Ahmedabad,21,,202,6.99,Low,29.4,20,9.9,Night,2024-07-31,Shawn,79.85
MCH-1035,3D Printer,Rajkot,4,10646.48,375,2.49,High,41.6,14,135.60000000000002,Evening,2023-03-03,Cody,80.42
MCH-1036,Laser Cutter,Pune,5,1160.73,1705,8.93,Medium,25.2,23,1.1,Morning,2022-11-05,Christopher,93.92
MCH-1037,Robotic Arm,Surat,13,569.1,533,5.83,Low,33.1,9,11.9,Evening,2025-03-04,Dustin,83.64
MCH-1038,CNC,Rajkot,8,536.43,1853,1.01,High,24.9,10,5.4,Night,2022-02-26,Erin,108.88
MCH-1039,Packaging Unit,Ahmedabad,10,,982,12.63,Medium,44.5,3,0.5,Night,2022-03-05,Jennifer,81.18
MCH-1040,3D Printer,Vadodara,15,819.9,283,3.47,Low,31.0,15,7.4,Evening,2022-11-20,Amy,89.07
MCH-1041,CNC,Pune,15,579.18,954,4.91,,32.7,9,6.1,Night,2023-09-15,Denise,93.03
MCH-1042,Packaging Unit,Surat,13,695.42,246,6.93,High,35.7,27,3.4,Morning,2022-11-20,Lisa,84.82
MCH-1043,3D Printer,Surat,6,915.37,1634,1.16,High,25.1,6,2.2,Morning,2023-07-19,Christina,108.45
MCH-1044,3D Printer,Rajkot,16,828.38,1430,8.19,Low,31.1,28,31.0,Night,2022-12-14,Dylan,72.65
MCH-1045,3D Printer,Pune,15,556.73,1024,7.81,High,33.6,16,18.4,Morning,2023-05-14,Randall,79.24
MCH-1046,3D Printer,Pune,13,871.81,229,10.27,Low,28.0,6,8.5,Morning,2025-01-23,Michelle,74.17
MCH-1047,Robotic Arm,Rajkot,7,161.95,172,6.35,Low,37.0,3,27.9,Morning,2022-05-09,Cindy,68.97
MCH-1048,Packaging Unit,Surat,19,377.95,359,13.68,Medium,24.5,12,0.8,Evening,2023-04-08,Michelle,74.53
MCH-1049,Packaging Unit,Rajkot,5,1078.49,530,8.3,Medium,37.2,26,1.4,Evening,2022-02-25,Barbara,85.3
MCH-1050,Robotic Arm,Rajkot,13,715.42,165,5.31,High,,24,5.3,Evening,2024-04-30,John,86.02
MCH-1051,Robotic Arm,Rajkot,18,458.87,410,14.6,High,36.1,8,8.3,Evening,2022-02-22,Kyle,67.75
MCH-1052,Packaging Unit,Ahmedabad,21,954.15,1453,9.13,Low,37.5,29,7.0,Evening,2024-09-02,Joseph,87.59
